company_name,role,contact_email,recruiter_name,job_description_summary
Datastory,Data Science PFA Intern,contact@datastory.ma,Responsable Recrutement,"Machine learning systems, predictive modelling, and modern analytics dashboards."
DecisiveAI,AI Agent & LLM Intern,contact@decisiveai.ma,Talent Acquisition,"Engineering multi-agent frameworks, LangGraph logic setups, and custom RAG enterprise systems."
xHub,Data & ML Engineering Intern,jobs@xhub.ma,Badr El Khadir,"Distributed stream engines, Apache Kafka orchestration, and ML production optimization."
Harmony Technology,Big Data PFA Intern,contact@harmony.ma,Equipe RH,"Industrial IoT telemetry infrastructure, anomaly tracking models, and Spark analytics pipelines."
Innov Systems,Machine Learning Intern,contact@innov-systems.com,Service RH,"Deep learning network tuning, automated conversational models, and vector stores."
Altcode ESN,Big Data Engineering Intern,contact@altcode.co,Responsable Recrutement,"Building production ETL pipelines, Snowflake warehouses, and real-time structured data processing."
Expertise Data,Data Infrastructure Intern,expertisedata@expertise-data.net,Recrutement Data,"Enterprise database sanitization, security protocols for big data stacks, and warehouse engineering."
SQLI Morocco,Data Scientist PFA Intern,recrutement-maroc@sqli.com,Responsable RH,"Statistical modeling, building predictive recommendations, and Python analytics pipelines."
DataPath,Big Data Analyst Intern,contact@datapath.ma,Direction RH,"Data validation algorithms, automated BI modeling, and structural warehouse mapping."
Cortex AI,AI Agent Developer Intern,careers@cortex.ma,Talent Acquisition,"Stateful LLM architecture setups, designing agent memory layers, and Python logic pipelines."
DeepData Maroc,Data Science Intern,hr@deepdata.ma,Equipe Recrutement,"Custom convolutional neural networks, computer vision frameworks, and predictive data manipulation."
Nexus Analytics,Big Data Engineer Intern,contact@nexus.ma,Service RH,"Hadoop file distribution setup, scalable ingestion architectures, and database clustering."
Insight Data,Machine Learning Intern,jobs@insight.ma,RH Executive,"Training statistical regressors, descriptive insight automation, and model serving layers."
Alpha Intelligence,AI Product Intern,contact@alphaintel.ma,Talent Manager,"Generative AI business pipelines, multi-agent process pipelines, and semantic routing tools."
Predictive Labs,Data Science PFA Intern,recrutement@predictivelabs.ma,Equipe RH,"Time-series forecasting, algorithmic financial trends tracking, and feature engineering."
SmartData Africa,Big Data Intern,contact@smartdata.ma,Responsable Talent,"Building PySpark jobs, orchestrating data transformations, and relational cloud storage solutions."
Synapse AI,AI Agent Engineering Intern,jobs@synapse.ma,Recrutement Tech,"Autonomous task executors, designing tools for LLMs, and prompt-to-database interaction paths."
ByteAnalytics,Data Scientist PFA Intern,hr@byteanalytics.ma,Service RH,"Unsupervised learning models, feature selection pipelines, and dashboard reporting frameworks."
DataScale,Big Data Engineering Intern,contact@datascale.ma,Equipe RH,"Apache Airflow scheduling, pipeline optimization, and structural database orchestration."
Vektor AI,Machine Learning Intern,careers@vektor.ma,Talent Acquisition,"Embedding vector spaces, semantic search optimization, and deploying open-source models."
CoreData Solution,Big Data Intern,hr@coredata.ma,Service Recrutement,"NoSQL infrastructure setups, distributed data migrations, and schema design validations."
Neurotech Maroc,AI Agent Intern,contact@neurotech.ma,RH Manager,"Natural language understanding units, custom LLM fine-tuning loops, and action tool chains."
QuantData,Data Science PFA Intern,recrutement@quantdata.ma,Equipe RH,"Quantitative modeling algorithms, customer churn engines, and automated data parsing."
Matrix Analytics,Big Data Engineer Intern,jobs@matrix.ma,Talent Team,"Data pipeline validation checkpoints, stream storage processing, and Hive warehouse handling."
Apex AI Labs,Machine Learning Intern,contact@apex-ai.ma,Responsable Recrutement,"Reinforcement learning parameters, image segmentation models, and edge AI applications."
Capgemini Morocco,Data & AI PFA Intern,maroc.recrutement@capgemini.com,Direction des Ressources Humaines,"Large scale enterprise cloud data platforms, machine learning industrialization, and big data engineering."
Atos Eviden Morocco,Data Science PFA Intern,recrutement-maroc@atos.net,Equipe Recrutement Eviden,"Advanced predictive modeling, high-performance distributed systems, and generative AI research frameworks."
DXC Technology Morocco,Big Data Engineering Intern,dxc-maroc-recrute@dxc.com,Talent Acquisition Team,"Scalable ETL architectures, streaming data ingestion using Apache Kafka, and enterprise business intelligence pipelines."
Inetum Morocco,Data Scientist PFA Intern,recrutement.maroc@inetum.com,Responsable Recrutement,"Predictive customer behavioral graphs, massive analytics warehousing, and dashboard generation."
